                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.49847,                0.40146,                0.91701,                0.98075,                0.98925,                0.98959,                0.81416,                0.67216,                0.38847,                 1.0167,             0.00075932,             0.00075932,             0.00075932
                     57,                0.52329,                0.42147,                0.92924,                0.96093,                0.99029,                0.98188,                0.81307,                0.64587,                0.39756,                0.98389,             0.00074282,             0.00074282,             0.00074282
                     58,                0.50891,                0.40976,                0.92491,                0.97137,                 0.9883,                0.98502,                0.84787,                0.60676,                0.39511,                0.94781,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.4997,                 0.4126,                 0.9207,                0.97073,                0.99029,                0.98508,                0.83225,                0.63787,                0.38198,                0.94963,             0.00070981,             0.00070981,             0.00070981
                     60,                0.48944,                0.41851,                0.91544,                0.97675,                0.98058,                0.98664,                0.83193,                0.61386,                0.37491,                0.95654,             0.00069331,             0.00069331,             0.00069331
                     61,                0.50497,                0.41263,                0.92919,                 0.9773,                0.99029,                0.98787,                0.83456,                0.62561,                0.37862,                0.94128,              0.0006768,              0.0006768,              0.0006768
                     62,                0.49962,                0.40549,                0.91691,                 0.9799,                0.99029,                0.98383,                0.83522,                0.59213,                0.38364,                0.94061,              0.0006603,              0.0006603,              0.0006603
                     63,                0.46654,                0.39101,                0.91302,                0.96958,                0.98058,                0.98359,                0.82119,                0.63677,                0.37992,                0.97253,              0.0006438,              0.0006438,              0.0006438
                     64,                0.47204,                0.38507,                0.91147,                0.97055,                0.98058,                0.99091,                0.83815,                0.65468,                0.39917,                0.95512,             0.00062729,             0.00062729,             0.00062729
                     65,                0.49262,                0.39206,                0.91497,                0.96026,                0.98058,                0.98298,                0.83653,                0.61803,                0.38286,                0.95311,             0.00061079,             0.00061079,             0.00061079
